claim,label
The term 'science' originally meant knowledge in Latin and 'Wissenschaft' in German.,true
Specialization in science has increased due to accumulating discoveries.,false
Scientists now often struggle to understand other fields within their own specialization.,false
There is a need for interdisciplinary collaboration among different scientific fields.,true
The information explosion is largely driven by scientific research.,true
Educated people today generally lack detailed knowledge in specific scientific areas.,true
Specialists tend to know more about less in their narrow fields.,false
General understanding of broad scientific topics is needed.,true
Communication barriers exist between different scientific disciplines.,true
Earth's cycles involve movement from place to place.,true
"Rock beneath feet moves due to erosion, subduction, and volcanic activity.",true
Cycling rates vary significantly across different parts of the cycle.,true
Dust particles in the troposphere have a residence time of a few weeks.,true
Water molecules in the air have a residence time of around 9 or 10 days.,true
Stratospheric water can remain for several years.,false
Groundwater can remain for up to 400 years.,false
Deep ocean water takes 1000 to 1600 years to return to the surface in the Pacific Ocean.,true
Radioisotopes are used for labelling in environmental monitoring.,true
Chemically inert dyes are used in water samples for analysis.,true
Radioisotopes have the same chemical properties as their non-radioactive counterparts.,false
Particles can be tracked using chemical or radioactive labels.,false
Smoke from factories can reach the ground quickly on rainy days.,true
Aircraft emissions take longer to reach the ground due to altitude and air conditions.,true
"Most pollutants have short atmospheric residence times, often measured in days or weeks.",true
Sulphur dioxide typically remains in the air for less than a month after release.,true
Water's atmospheric residence time depends on evaporation rates and precipitation patterns.,true
Carbon-14 is formed in the atmosphere through cosmic radiation and decays over time.,true
The ratio of 12C to 14C in water changes when exposed to air and isolated from it.,true
Age of water can be estimated from its 14C content assuming certain conditions are met.,true
Biogeochemical cycles involve various elements essential for life.,true
Global systems involve interconnected components forming a coherent whole.,true
Your body functions as a system with various organs working together.,true
"The Earth's surface is divided into four distinct regions: lithosphere, hydrosphere, atmosphere, and biosphere.",true
"Materials cycle through these Earth spheres, originating in the lithosphere and ending up in the oceans.",true
Biogeochemical cycles are integral parts of an overarching global system.,true
Volcanic eruptions and plate tectonics contribute to the cycling of materials within the Earth's systems.,true
Organisms adapt to changing conditions by modifying their needs and strategies for survival.,true
"The global system is not solely driven by physical forces, as organisms play a role in material cycling.",true
Limestone and chalk rocks form due to chemical reactions involving carbon dioxide dissolved in rainwater.,true
Weathering and erosion are essential processes in the cycling of materials within the Earth's systems.,true
"The Earth's systems are complex and interdependent, raising questions about their driving forces.",false
The Sun has grown hotter by 25 to 30 percent since the Earth formed.,true
Carbon dioxide removal helps prevent surface temperatures from rising too high.,true
James Lovelock proposed the Gaia hypothesis.,true
Lovelock concluded that Earth's biogeochemical cycles are driven by biology.,true
Lovelock reasoned that life modifies its environment through taking materials and discharging wastes.,true
"Earth's atmosphere is far from chemical equilibrium due to unusual amounts of nitrogen, oxygen, and methane.",true
Lovelock believed that organisms produce and maintain conditions favorable to themselves.,true
The Gaia hypothesis suggests the Earth is a single living organism.,true
This hypothesis has generated significant interest but remains controversial.,true
Lovelock named his hypothesis after the Greek goddess of the Earth.,true
The Gaia hypothesis posits that the Earth manages itself to maintain conditions suitable for life.,true
Biological processes drive biogeochemical cycles.,true
The Gaia hypothesis explains hospitable environments.,true
Iron enrichment stimulates marine plankton growth.,true
Biota significantly shapes its environment.,true
Grasslands are maintained by grazing herbivores.,true
Gaseous oxygen results from photosynthesis.,true
Humans modify their surroundings through daily activities.,true
Environmental changes favor certain species.,true
All life alters its surroundings.,false
Ecology and environmentalism have emerged due to environmental concerns.,true
"We can measure concentrations of substances in air, water, soil, or food.",true
Pollutants are substances that are harmful and introduced by human activities.,true
Determining the seriousness of pollution problems requires considering costs and benefits.,true
Threshold doses are difficult to calculate for pollutants and their effects on humans.,true
Epidemiology studies help identify health impacts of pollutants on human populations.,true
The Chernobyl accident might cause a negligible increase in cancer deaths worldwide.,true
EU sets very low limits for pesticide residues to ensure safety.,true
Statistical risk assessment often lacks precision but still guides precautionary measures.,false
Caesar banned wheeled traffic from Rome's center during daytime.,true
Claudius expanded the ban to all Italian towns.,true
Marcus Aurelius applied the ban to all towns in the Roman Empire.,true
Hadrian further restricted vehicle entry into Rome at night.,true
Population density led to traffic congestion in ancient Rome.,true
Urban air pollution was recognized as a problem in medieval London.,true
Edward I enacted laws to curb smoke emissions in 1273.,true
Richard II initiated early efforts to reduce Thames pollution.,true
Elizabeth I refused to enter London due to smoke pollution.,true
Law originally referred to land outside enclosed farmlands for hunting.,true
Much of the 'forest' belonged to the sovereign and had special laws.,true
Forests were considered dark and dangerous places inhabited by wild animals and bandits.,true
Elizabethan writers used 'wilderness' to describe unmanaged forest areas.,true
"Until modern times, famine was a risk due to weediness and crop health.",true
"Mountains, upland moors, and wetlands were considered uncultivable wastelands.",true
Arthur Young advocated for the cultivation of 'waste' land in England.,true
Colonial expansion led to early conservation efforts in tropical regions.,true
Deforestation was linked to local climate change by French reformers.,true
Scientists in British territories observed similar relationships between deforestation and climate.,false
Forest reserves were established in Tobago and St Vincent in the late 18th century.,true
A law protecting forests in French Mauritius was enacted in 1769.,true
Earth is the only planet known to support life among the nine planets in the solar system.,true
All materials used by humans originate from the Earth.,true
The Earth provides food and water for all living beings.,true
Solar energy powers Earth's climates and biological systems.,true
"The Earth receives energy from the Sun, driving its climates and biological processes.",true
"The Earth supports life, making it unique among the planets in the solar system.",true
The Earth's surface is composed of various materials including rocks and minerals.,true
Weathering is a process that affects the Earth's surface over time.,false
Landforms on the Earth evolve through geological processes over long periods.,true
"Coasts, estuaries, and changes in sea levels are features of the Earth's coastal areas.",false
"The Earth's atmosphere contains oxygen, nitrogen, and other gases essential for life.",true
The Earth's atmosphere influences weather patterns and climate conditions.,true
Ice ages and interglacials occur periodically due to Earth's climate changes.,true
Human activities can lead to climate change affecting Earth's ecosystems.,true
Earth is our environment at the most fundamental level.,true
The oldest rocks on the Moon are about 4.6 billion years old.,true
René Descartes proposed the theory that the solar system formed from a cloud of gas and dust.,true
Most meteorites entering the Earth's atmosphere are vaporized due to friction.,true
The Earth-Moon system resulted from a collision between the proto-Earth and a very large body.,true
Lunar rocks 4.6 billion years old indicate the age of the Earth and Moon.,true
The primitive solar nebula may have been perturbed by material from a supernova explosion.,true
Fusion processes within stars convert hydrogen to helium and produce heavier elements up to iron.,true
"The inner planets formed by accretion, with small particles moving closer and growing into larger bodies.",true
The Earth and Moon are considered to be of the same age due to the collision that created the Earth-Moon system.,true
"The material of Earth became arranged in discrete layers, similar to the skins of an onion.",true
Earth's mean density is 5.517 g/cm³.,true
The Earth's inner core is composed of iron with some nickel.,true
The Earth's outer core is liquid iron with nickel.,true
The Earth's mantle is dense but somewhat plastic rock.,true
The Earth's crust is a thin layer of solid rock.,true
The geothermal gradient increases with depth.,true
The Earth's magnetic field is generated by movement in the outer core.,true
The Earth's surface area is approximately 149 million km².,false
Land makes up 29.22% of the Earth's surface.,false
Antarctica is a large continent.,true
The Earth's polar circumference is shorter than its equatorial circumference.,true
Miners found the temperature increased with depth in their underground works.,false
Heat increases by 20 to 40 degrees Celsius for every kilometer of depth.,true
"In some areas, the temperature increase is only 9 or 10 degrees Celsius per kilometer.",false
Geothermal energy can be harnessed in volcanic regions.,true
Drilling techniques can bring hot water to the surface for energy purposes.,true
Dry subsurface rock can be hotter than its surroundings.,true
Exploitation of geothermal energy can be expensive due to costs associated with drilling and containment.,true
Substances from the rock can dissolve into the hot water.,true
The solution to corrosion involves keeping the water isolated from the environment.,false
The energy from geothermal sources is not renewable.,true
"Over long periods, the crustal material is constantly being rearranged by mantle convection.",true
Subsurface heat has an indirect effect on the climate over very long time scales.,true
Earthquakes cause damage to physical structures leading to injuries.,true
Underwater earthquakes generate tsunamis affecting the entire water column.,true
"Tsunamis rise significantly upon entering shallow waters, causing destruction.",false
Volcanic ash can lead to climatic cooling if it reaches the stratosphere.,true
Volcanic eruptions can benefit agriculture by enriching soil with minerals.,true
Farmers can cultivate fields near active volcanoes due to volcanic ash's fertility.,true
"Surtsey, a new submarine volcano, erupted violently in 1963, forming an island.",true
The lava cone of Surtsey rose above the sea surface after cooling.,true
"Sea birds settled on Surtsey, initiating colonization by plants and animals.",true
"After the 1883 eruption of Krakatau, some plant species managed to survive and thrive.",false
"By 1906, Krakatau had developed a thick forest ecosystem.",true
Some lizards lived on Krakatau in 1908.,true
Twenty-two species of animals lived on Krakatau in 1908.,false
Two hundred and nine species of animals lived on Krakatau in 1933.,false
Rats were introduced to Krakatau in 1918.,true
Rock salt can form salt domes beneath denser rocks.,true
Salt domes can sometimes break through the Earth's surface.,true
Salt domes can flow downhill like glaciers when they break through the surface.,true
The chemical composition of a rock determines its color.,true
Melanocratic rocks are rich in iron and magnesium compounds.,true
Leucocratic rocks are rich in silica compounds.,true
Crystals form as atoms bond to specific sites on a seed crystal's surface.,true
"The slower a molten rock cools, the larger the crystals it is likely to contain.",true
Basalt forms most of the ocean floor.,true
Granite is a common intrusive igneous rock.,true
Mountain chains can form due to tectonic plate movements.,true
The Himalayas were formed by the collision of the Indian and Eurasian plates.,true
The British landscape has been shaped by multiple orogenies over millions of years.,false
The Caledonian-Appalachian mountain chain resulted from the first Scottish orogeny.,true
The Acadian orogeny occurred approximately 360 million years ago.,true
The Hercynian and Uralian orogenies happened around the same time as the Alleghanian.,true
Bosses and batholiths are exposed igneous intrusions.,true
Fossil shells indicate that mountains can form from folded pre-existing rocks.,true
Dartmoor and Bodmin Moor are located on granite batholiths.,true
Temperatures also undergo weathering.,false
Weathering affects rocks through various processes including physical and chemical changes.,true
Weathering can occur both above and below ground surfaces.,true
Oxygen and carbon dioxide in air contribute to weathering.,true
Water plays a crucial role in weathering through dissolution and chemical reactions.,true
"Chemical weathering involves dissolution, oxidation, hydration, and hydrolysis processes.",true
Limestone pavements are visible evidence of chemical weathering.,true
Red sandstones in Devon were originally arid desert sands rich in iron.,true
Iron in these sands was oxidized to form the red color of the sandstone.,true
Limestone pavements typically form in areas where limestone beds are exposed and eroded.,true
Weathering leads to the formation of distinctive geological features such as limestone pavements.,true
ic acid reacts with calcium carbonate to produce calcium bicarbonate.,true
Calcium bicarbonate is soluble in water and forms deep crevices.,true
Grikes provide a habitat for lime-loving plants.,true
Limestone pavements are protected by law to prevent their destruction.,true
"Iron oxidizes to form hematite, an important iron ore mineral.",true
Banded ironstone formations contain alternating bands of hematite and chert.,true
"Nodules of iron, manganese, and other metals form near mid-ocean ridges.",true
Vast fields of iron and metal nodules exist on ocean floors.,true
Serious consideration was once given to harvesting these nodules from the ocean floor.,true
Kaolin is used in the production of fine porcelain and as a filler in paper.,true
"Today, most kaolin is used as a filler and whitener in paper.",true
"Most extensively mined kaolin deposits are located in Cornwall and Devon, Britain.",true
"Kaolin is a hydrated aluminium silicate, Al₂O₃·2SiO₂·2H₂O, derived from the mineral kaolinite.",true
British kaolinite deposits are associated with granite batholiths and bosses intruded during the Hercynian orogeny.,true
"Granites contain quartz, mica, and feldspars, with feldspars being variable in composition and often rich in sodium.",true
"Kaolinite forms as minute white hexagonal plates that are separated from the rock by industrial washing and precipitation, leaving behind quartz grains and mica.",true
"Approximately 15% of the material recovered is kaolin, 10% is mica waste, and 75% is sand, which has found some use in building and landscaping.",true
"Bauxite, an important ore of aluminium, is produced by the chemical weathering of feldspars, typically containing 25-30% aluminium oxide.",true
"Bauxite is a mixture of hydrous aluminium oxides and hydroxides with various metals as impurities, suitable for mining if it contains 25-30% aluminium oxide.",true
"Laterization, a type of extreme weathering of soil, occurs primarily in some parts of the seasonal tropics where soils are derived from granite parent material.",true
"Laterization can be triggered by removing the forest or other natural vegetation in certain areas, potentially leading to the formation of laterites.",true
"Laterites are brick-hard and can be broken by ploughing, except on steep slopes.",true
ils overlying granite can be up to 30 m deep.,true
naturally acidic water from the surface percolates through them.,true
plants draw the water up again through their roots.,true
water is also drawn upward by capillary attraction through tiny spaces between soil particles.,true
"if the rainfall is fairly constant through the year, the movement of water is also constant.",true
"if it is strongly seasonal, evaporation exceeds precipitation during the dry season.",true
"mineral compounds dissolved in the soil water are precipitated, the least soluble being precipitated first.",true
"provided vegetation cover is adequate, with roots penetrating deep into the soil, the minerals will not accumulate in particular places.",true
"if there is little plant cover, however, they may accumulate near the surface.",true
the most insoluble minerals are hydroxides of iron and aluminium (kaolinite).,true
they are what give many tropical soils their typically red or yellow color.,true
Soil formation involves biological activity.,true
Physical weathering plays a role in soil formation.,true
Thermal weathering leads to rock fragmentation and particle detachment.,true
Water erosion is the most significant form of soil erosion.,false
Human activities contribute to soil degradation.,true
The UN estimates global land degradation by water erosion at 1.093 billion hectares.,true
Sheet and surface erosion affect 920 million hectares globally.,true
Rills and gullies degrade an additional 173 million hectares.,true
Natural vegetation removal and deforestation cause 43% of water erosion.,true
Over-grazing and poor farming practices contribute to 29% of water erosion.,true
Modern farming techniques can significantly reduce soil erosion.,true
Rock is recycled through various natural processes to form soils and landscapes.,true
Human activities can speed up the natural process of landscape alteration on vulnerable land.,true
Landscapes evolve due to weathering of rocks and erosion of loose particles.,true
The 1952 Lynmouth flood was an example of sudden landscape change.,true
"During the last glaciation, Dartmoor experienced severe cold with permanent frozen ground.",true
Permafrost caused rock masses on Dartmoor to break apart due to repeated freezing and thawing of water.,true
"The permafrost thawed for a few weeks in summer, causing mud and boulders to slide downhill.",true
"Today, remnants of permafrost on Dartmoor provide evidence of past climates.",false
"Similar periglacial processes affected the weak, jointed chalk in southern England.",true
These processes resulted in the formation of deposits called 'coombe rock.,false
Periglacial phenomena have been observed in North America and other European regions.,false
"The 1952 Lynmouth flood occurred after heavy rainfall in Exmoor, England.",false
of 15 and 16 August both rivers flooded.,true
Overflow from the West Lyn created a new channel.,true
"Houses, roads, and bridges were destroyed during the flood.",true
"An estimated 40,000 tons of debris were left in Lynmouth.",true
31 people lost their lives in the flooding disaster.,true
The flooding was primarily caused by heavy rainfall.,false
"Presently, permafrost regions exist in high latitudes.",false
"In Canada and Alaska, permafrost can reach depths of up to 400 meters.",true
"In Siberia, permafrost can extend up to 700 meters deep.",false
Permafrost covers approximately 20% of the Arctic Circle's land area.,true
Ice sheets significantly shape landscapes through erosion and depression.,true
Geomorphology studies landforms and their formation.,false
William Morris Davis proposed the 'Davisian cycle' of landscape evolution.,true
The Davisian cycle' starts with land being raised by tectonic movements.,true
Hill slopes become gentler as landscapes mature.,true
A peneplain is described as 'almost a plain.,true
Walther Penck argued that slopes maintain a stable angle.,true
Erosion wears away the face of a slope but does not make it shallower.,true
Slopes eroding faster at lower angles due to weathered material protection.,true
Understanding slope behavior is crucial for engineering and environmental purposes.,false
Rivers transport eroded particles from uplands to the sea.,true
"Landslides, erosion, and flooding are risks engineers aim to mitigate.",true
Water transports mineral particles.,true
Organic matter and dissolved plant nutrients are carried by rivers.,true
Rivers supply water for domestic and industrial use.,true
Water moves from higher to lower ground through soil layers.,false
The water table is the upper limit of saturated soil.,true
A drainage system removes water from a specific area.,true
A catchment in Britain refers to the area drained by a drainage system.,true
"In estuaries, large particles settle later than small ones.",false
Salinity variations make it difficult for most species to survive in estuarine environments.,false
Ion travels only at the speed of light.,false
"Spherical particles larger than 0.1 micrometers scatter light without changing its direction, darkening the sky after rain.",false
"All received energy is reradiated by the Earth, and some is converted back into heat by respiration.",false
Gasohol' was previously declining in Brazil but saw increased production in 1999.,false
Methanol can be produced from plant material and does not contribute to the greenhouse effect.,false
Turbines occupy about 2 hectares each.,false
Large conventional power stations produce comparable energy output.,false
Energy requires significantly more to increase water's temperature compared to rock.,false
Water's heat can move through it easily via convection and mixing.,false
The greenhouse effect warms the Earth by absorbing long-wave radiation from the sun.,false
Nitrogen and oxygen are nearly transparent to certain types of electromagnetic radiation.,false
Ozone absorbs about 4% of incoming solar radiation.,false
"At about 1.5 µm, 2.0 µm, and 2.5-4.5 µm, there are 6 per cent by water droplets and dust.",false
Water vapor is the most important greenhouse gas overall.,false
The average global temperature could rise between 1.5 and 4.5 degrees Celsius.,false
"If at mean tide, sea level has fallen.",false
Models require substantial computational resources.,false
Water vapor's effect on warming remains uncertain.,false
Volcanic activity later led to the formation of a new atmosphere.,false
Nitrogen is chemically stable but can be oxidized by lightning and other means.,false
Thunderstorms contribute to the replenishment of atmospheric nitrogen annually.,false
Biological processes help sustain the current atmospheric composition.,false
Human activities such as lightning and bacterial processes influence atmospheric nitrogen levels.,false
"At 350 km, the temperature can reach over 900 °C.",false
The source of water vapor in the stratosphere is unclear.,false
"Beyond the mesosphere, atmospheric composition stabilizes due to turbulence-induced mixing.",false
A watershed in North America is the area drained by a drainage system.,true
"Drainage patterns vary based on climate, rock type, and erosion extent.",true
Dendritic patterns typically form on gently sloping land with uniform geology.,true
Radial patterns occur around domed hills and batholiths.,true
Trellis patterns develop where rivers cross alternating bands of hard and soft rocks.,true
Sea water loses energy when pushing against fresh water.,true
Sand grains are larger and heavier than silt particles.,true
Particles of silt range from 2 to 60 micrometres in diameter.,true
Sand grains range from 60 to 2000 micrometres in diameter.,true
Mudbanks are formed from silt and smaller clay particles.,true
Organic molecules contribute to the formation of clumps in estuarine waters.,true
Bacteria and burrowing invertebrates thrive in estuarine mud due to organic material.,true
Estuaries can be enriched by nutrient traps caused by current patterns.,true
Mangroves help extend tropical coastlines by trapping sediment.,true
"Salt marsh vegetation raises the surface above the tide line, creating dry land.",true
Solar radiation is absorbed in the upper atmosphere.,true
Radiation with wavelengths between 0.2 and 0.4 μm is ultraviolet.,true
Most UV is absorbed by stratospheric oxygen and ozone.,true
Visible light wavelengths range from 0.4 to 0.7 μm.,true
The Sun radiates most intensely in the green part of the spectrum.,true
Water vapor absorbs energy in several narrow bands between 0.9 and 2.1 μm.,true
Energy is absorbed when radiant energy strikes the Earth's surface.,true
The Earth is not warmed evenly due to latitude and cloudiness.,true
Insolation is higher in tropical and subtropical deserts than at the equator.,true
Clouds reflect incoming sunlight in the equatorial region.,true
Most of the 'lost' incoming solar radiation is reflected directly back into space.,true
About 10 percent of the incoming radiation is absorbed or scattered by atmospheric components.,true
Rayleigh scattering occurs when shorter wavelengths scatter more than longer ones.,true
The sky appears blue when the Sun is high due to scattering of blue light.,true
"When the sky is hazy, dust particles scatter light of all wavelengths, making the sky appear white.",true
"During sunrise and sunset, dust particles scatter light primarily in the orange and red wavelengths.",true
"The Earth acts as a black body, radiating energy in the long, infrared waveband.",true
"If the Earth retained captured energy permanently, it would grow hotter, contradicting observed temperatures.",true
"Plants capture and pass on energy to animals, which then release it back into the environment as heat.",true
Solar energy can be exploited for domestic and industrial use.,true
Biomass crops require large amounts of land and may compete with food or fiber crops.,true
Manufactured solar collectors absorb heat and transfer it to hot water systems.,true
Solar collectors are most effective in areas with high insolation levels.,true
Up to 3000 turbines can be installed in an array.,true
Wind turbines require space to avoid mutual interference.,true
Wind turbines are unreliable and require backup conventional capacity.,true
Installation sites are often visually intrusive and politically contentious.,true
Wind power could potentially alter local climates significantly.,true
Wave power technology is well developed but faces challenges.,true
Wave power installations require large structures and robust infrastructure.,true
Wave power is limited to areas with significant wave activity.,true
Small-scale applications of wind and wave power are suitable for remote locations.,true
Solar energy may become more accessible with improved efficiency and cost-sharing strategies.,true
"They are also produced by a range of human activities, especially the burning of fuels.",true
It is difficult to separate natural sources from those linked directly to human activities.,true
Agriculture and industry account for about one-third of the particulate matter in the air.,true
Forest clearance and the overgrazing of marginal land in semi-arid regions lead to large injections of small particles as wind-blown soil.,true
Particles injected into the upper troposphere might increase the formation of cirriform cloud.,true
Particles injected into the stratosphere might increase planetary albedo for several years.,true
"Such 'thermal mountains' would stimulate convection, hopefully leading to the formation of cumuliform clouds that would release rain.",true
"Most climatologists are wary of such schemes, suspecting that in the unlikely event that they worked the unanticipated consequences might be unpleasant.",true
On a really hot summer day the surface temperature of sand on a beach may be high enough to make it painful to walk across it in bare feet.,true
"Dig your feet into the sand, however, and you soon reach a cooler level.",true
Different materials vary in their response to radiant energy because they have different heat capacities.,true
Water has a much higher thermal capacity than rock.,true
Water cools down more slowly than rock after losing heat.,true
The temperature change near the surface depends on the material's conductivity and mobility.,true
"Sand conducts heat poorly, resulting in a cool layer close to the surface.",true
"Without the greenhouse effect, Earth's average surface temperature would be around 250 K (-23°C).",true
The current average surface temperature is approximately 288 K (+15°C).,true
The greenhouse effect causes an average temperature difference of 38°C.,true
Carbon dioxide absorbs about 20% of the incoming solar radiation in the infrared band.,true
"At wavelengths greater than about 4.0 µm, several atmospheric gases absorb radiation.",true
"The Earth emits electromagnetic radiation at 4-100 µm, with a peak of intensity around 10 µm.",true
More than 90 per cent of the Earth's outgoing long-wave radiation is absorbed in the atmosphere.,true
"The remainder, about 6 per cent, escapes into space.",true
These 'gaps' in the absorption bands are called the 'atmospheric window.,true
Molecules absorb radiation and reradiate it in all directions.,true
"Some of the reradiated radiation returns to the surface, some is absorbed by other atmospheric molecules, and some is radiated upwards.",true
"The surface is warmed by the Sun only during daytime, but its heat is radiated away by night as well as by day.",true
"The overall energy budget of the Earth must balance, and it does.",true
Greenhouse' is a colorful but misleading metaphor.,true
The atmospheric greenhouse effect is real and important.,true
"Vostok cores go back to about 160,000 years ago.",true
The greenhouse-gas concentration fluctuates with temperature changes.,true
Carbon dioxide levels increased after temperatures rose during the end of the last ice age.,true
Carbon dioxide measurements from ice cores are unreliable due to its solubility in ice.,true
The concentration of carbon dioxide was lower before the Industrial Revolution.,true
The Industrial Revolution caused a significant increase in atmospheric carbon dioxide concentration.,true
The 'warm champagne' effect occurs when temperature rises and carbon dioxide bubbles out of oceans.,true
The 'warm beer' effect happens as aerobic bacteria release carbon dioxide due to rising temperatures.,true
Carbon dioxide is the most abundant greenhouse gas over which humans can control.,true
"Methane, nitrous oxide, and tropospheric ozone are other greenhouse gases.",true
"The concentration of methane is about 1.7 ppm, nitrous oxide is 0.31 ppm, and tropospheric ozone is 0.06 ppm.",true
Its concentration varies greatly from place to place and from day to day.,true
It is strongly affected by temperature.,true
The influence of this gas tends to add to those of the other gases.,true
Carbon dioxide is used as a reference for calculating global warming potentials.,true
Methane has a global warming potential of 11 compared to carbon dioxide.,true
Nitrous oxide has a global warming potential of 270 compared to carbon dioxide.,true
CFC-11 has a global warming potential of 3400 compared to carbon dioxide.,true
CFC-12 has a global warming potential of 7100 compared to carbon dioxide.,true
A doubling of carbon dioxide concentration is used to calculate future climatic warming.,true
Warming of the oceans is expected to cause a rise in sea level of 2-4 cm per decade.,true
It is uncertain whether sea levels have risen worldwide by about 25 cm over the past century.,true
Methane has a global warming potential of 11 times that of carbon dioxide.,true
Nitrous oxide has a global warming potential of 270 times that of carbon dioxide.,true
CFC-11 has a global warming potential of 3400 times that of carbon dioxide.,true
CFC-12 has a global warming potential of 7100 times that of carbon dioxide.,true
Future climatic warming estimates are based on a doubling of carbon dioxide concentration.,true
A doubling of carbon dioxide would raise the average global temperature by 1.5-4.5°C.,true
Warming of the oceans due to greenhouse gases causes a rise in sea level of 2-4 cm per decade.,true
Predictions of global warming include an assertion that sea levels have risen worldwide by about 25 cm over the past century.,true
The sea-level gauge was meant to indicate sea level.,true
John Daly rediscovered the sea-level gauge in 1999.,true
Daly found the gauge still visible above the water line.,true
The exact setting of the gauge is uncertain.,true
"If close to high tide, sea level hasn't changed since 1841.",true
Mean global temperature increased by 0.37°C from 1881 to 1940.,true
"Temperature fell from 1940 to the 1970s, then rose again.",true
No clear evidence of warming between 1980 and 1998.,true
Total warming from 1881 to 1993 was 0.54°C.,true
Two-thirds of the warming occurred before 1940.,true
Surface measurements can be affected by urban development and staff changes.,true
Oceans are the most important sink for carbon dioxide.,true
The behavior of carbon dioxide sinks is not fully understood.,true
Carbon dioxide levels fluctuate seasonally due to plant growth.,true
General circulation models simulate the climate using physical laws.,true
Cloud formation cannot be accurately represented in GCMs.,true
Ocean mixing is simplified in most GCMs.,true
Coupled models treat the oceans similarly to the atmosphere complexity.,true
Scientific understanding of atmospheric and oceanic processes is advancing rapidly.,true
Regional warming impacts vary significantly.,true
Water vapor is a greenhouse gas.,true
A more humid atmosphere will be cloudier.,true
Clouds can have both warming and cooling effects.,true
Most General Circulation Models predict an increase in high-level clouds.,true
It is uncertain how much cloud formation will occur and what types of clouds will form.,true
Many climatologists believe there is a real possibility of global climatic warming.,true
"Climate belts could shift towards higher latitudes, benefiting some regions and harming others.",true
Warming might lead to reduced nighttime temperatures and increased soil moisture.,true
Environmentalists support the precautionary principle.,true
The Rio summit aimed to reduce greenhouse gas emissions based on the precautionary principle.,true
Critics argue that implementing policies based on the precautionary principle can be costly and difficult.,true
Earth's early atmosphere may have consisted of hydrogen and helium.,true
The current atmosphere is believed to have developed significantly due to biological processes.,true
Denitrifying bacteria play a role in maintaining atmospheric nitrogen levels.,true
The Earth's atmosphere continues to evolve and change over time.,true
It is uncertain what the exact composition of Earth's early atmosphere was.,true
The presence of free oxygen in Earth's early atmosphere is questionable.,true
Temperature decreases with height in the troposphere.,true
The tropopause marks the boundary between the troposphere and stratosphere.,true
The stratosphere has a constant temperature region above the tropopause.,true
The mesosphere experiences a decrease in temperature with increasing altitude.,true
The thermosphere is characterized by a rise in temperature with altitude.,true
The mesopause is located at approximately 80 km altitude.,true
The density of oxygen molecules is sufficient to absorb most solar ultraviolet radiation.,true
